x,y,phase,pathName
-56.234,-56.9,0.37406215,Circle
-57.116,-56.015,0.37654895,Circle
-57.984,-55.115997,0.37903574,Circle
-58.838,-54.203003,0.38152254,Circle
-59.678,-53.277,0.38400933,Circle
-60.503,-52.337997,0.38649613,Circle
-61.313,-51.386,0.38898292,Circle
-62.109,-50.421997,0.39146972,Circle
-62.889,-49.445,0.3939565,Circle
-63.654,-48.457,0.3964433,Circle
-64.403,-47.456,0.3989301,Circle
-65.137,-46.444,0.4014169,Circle
-65.855,-45.421005,0.4039037,Circle
-66.556,-44.386,0.4063905,Circle
-67.242,-43.341003,0.40887728,Circle
-67.911,-42.285004,0.41136408,Circle
-68.563,-41.219,0.41385087,Circle
-69.199,-40.143005,0.41633767,Circle
-69.817,-39.057,0.41882446,Circle
-70.419,-37.961,0.42131126,Circle
-71.004,-36.856003,0.42379805,Circle
-71.571,-35.742004,0.42628485,Circle
-72.121,-34.619995,0.42877164,Circle
-72.653,-33.488,0.43125844,Circle
-73.167,-32.349,0.43374524,Circle
-73.664,-31.201996,0.43623203,Circle
-74.142,-30.046997,0.43871883,Circle
-74.603,-28.885002,0.44120562,Circle
-75.045,-27.716,0.44369242,Circle
-75.469,-26.54,0.4461792,Circle
-75.874,-25.358002,0.448666,Circle
-76.261,-24.168999,0.4511528,Circle
-76.629,-22.974998,0.4536396,Circle
-76.979,-21.775002,0.4561264,Circle
-77.31,-20.569,0.4586132,Circle
-77.622,-19.359001,0.46109998,Circle
-77.915,-18.143997,0.46358678,Circle
-78.189,-16.924,0.46607357,Circle
-78.444,-15.700001,0.46856037,Circle
-78.679,-14.473,0.47104716,Circle
-78.896,-13.242001,0.47353396,Circle
-79.093,-12.007,0.47602075,Circle
-79.271,-10.77,0.47850755,Circle
-79.43,-9.529999,0.48099434,Circle
-79.569,-8.288002,0.48348114,Circle
-79.689,-7.0439987,0.48596793,Circle
-79.789,-5.7980003,0.48845473,Circle
-79.87,-4.549999,0.49094152,Circle
-79.931,-3.302002,0.49342832,Circle
-79.973,-2.0530014,0.4959151,Circle
-79.995,-0.8030014,0.4984019,Circle
-79.998,0.44599915,0.5008887,Circle
-79.982,1.6959991,0.50337553,Circle
-79.945,2.9459991,0.50586236,Circle
-79.889,4.1940002,0.5083492,Circle
-79.814,5.4419994,0.510836,Circle
-79.719,6.6879997,0.51332283,Circle
-79.605,7.9330006,0.51580966,Circle
-79.471,9.175999,0.5182965,Circle
-79.318,10.417,0.5207833,Circle
-79.146,11.654999,0.52327013,Circle
-78.954,12.889999,0.52575696,Circle
-78.743,14.122,0.5282438,Circle
-78.513,15.351,0.5307306,Circle
-78.263,16.575,0.53321743,Circle
-77.995,17.796,0.53570426,Circle
-77.707,19.013,0.5381911,Circle
-77.401,20.225,0.5406779,Circle
-77.075,21.431,0.54316473,Circle
-76.731,22.633,0.54565156,Circle
-76.368,23.829,0.5481384,Circle
-75.986,25.02,0.5506252,Circle
-75.586,26.204,0.55311203,Circle
-75.167,27.382,0.55559886,Circle
-74.73,28.553,0.5580857,Circle
-74.275,29.717,0.5605725,Circle
-73.802,30.874,0.56305933,Circle
-73.31,32.023,0.56554615,Circle
-72.801,33.165,0.568033,Circle
-72.274,34.298,0.5705198,Circle
-71.729,35.423,0.57300663,Circle
-71.167,36.54,0.57549345,Circle
-70.587,37.647,0.5779803,Circle
-69.991,38.745,0.5804671,Circle
-69.377,39.834,0.58295393,Circle
-68.746,40.913,0.58544075,Circle
-68.098,41.982,0.5879276,Circle
-67.434,43.041,0.5904144,Circle
-66.753,44.09,0.59290123,Circle
-66.056,45.127,0.59538805,Circle
-65.343,46.154,0.5978749,Circle
-64.614,47.169,0.6003617,Circle
-63.869003,48.173,0.60284853,Circle
-63.108,49.165,0.60533535,Circle
-62.333,50.145,0.6078222,FigureEight
-61.2837,51.21761,0.610309,FigureEight
-60.1287,52.174606,0.6127958,FigureEight
-58.8797,53.005608,0.61528265,FigureEight
-57.550697,53.701607,0.6177695,FigureEight
-56.1557,54.25461,0.6202563,FigureEight
-54.710697,54.658607,0.6227431,FigureEight
-53.231697,54.909607,0.62522995,FigureEight
-51.7347,55.00461,0.6277168,FigureEight
-50.2357,54.94261,0.6302036,FigureEight
-48.750698,54.72461,0.6326904,FigureEight
-47.2967,54.352608,0.63517725,FigureEight
-45.889698,53.83061,0.6376641,FigureEight
-44.5447,53.16461,0.6401509,FigureEight
-43.2767,52.36161,0.6426377,FigureEight
-42.099697,51.43061,0.64512455,FigureEight
-41.0267,50.381607,0.6476114,FigureEight
-40.0687,49.22661,0.6500982,FigureInfinite
-39.2367,47.977608,0.652585,FigureInfinite
-38.5397,46.64861,0.65507185,FigureInfinite
-37.9857,45.25361,0.6575587,FigureInfinite
-37.5807,43.80861,0.6600455,FigureInfinite
-37.328697,42.32961,0.6625323,FigureInfinite
-37.2327,40.83261,0.66501915,FigureInfinite
-37.293697,39.33361,0.667506,FigureInfinite
-37.5107,37.84861,0.6699928,FigureInfinite
-37.8817,36.394608,0.6724796,FigureInfinite
-38.4027,34.98761,0.67496645,FigureInfinite
-39.0677,33.64361,0.6774533,FigureInfinite
-39.869698,32.37661,0.6799401,FigureInfinite
-40.799698,31.20061,0.6824269,FigureInfinite
-41.8477,30.128609,0.68491375,FigureInfinite
-43.001698,29.171608,0.6874006,FigureInfinite
-44.2497,28.340609,0.6898874,FigureInfinite
-45.577698,27.64461,0.6923742,Circle
-46.9717,27.09161,0.69486105,Circle
-48.4157,26.687609,0.6973479,Circle
-49.8937,26.43661,0.6998347,Circle
-51.389698,26.34161,0.7023215,Circle
-52.8877,26.40361,0.70480835,Circle
-54.3717,26.621609,0.7072952,Circle
-55.8247,26.993608,0.709782,Circle
-57.230698,27.51561,0.7122688,Circle
-58.5747,28.18161,0.71475565,Circle
-59.841698,28.98461,0.7172425,Circle
-61.0177,29.91561,0.7197293,Circle
-62.0897,30.96461,0.7222161,Circle
-63.0467,32.11961,0.72470295,Circle
-63.8777,33.36861,0.7271898,Circle
-64.5737,34.69661,0.7296766,Circle
-65.1267,36.09061,0.7321634,Circle
-65.5307,37.53461,0.73465025,FigureInfinite
-66.0837,38.928608,0.7371371,FigureInfinite
-66.7797,40.256607,0.7396239,FigureInfinite
-67.6107,41.50461,0.7421107,FigureInfinite
-68.567696,42.658607,0.74459755,FigureInfinite
-69.6397,43.706608,0.7470844,FigureInfinite
-70.8157,44.63661,0.7495712,FigureInfinite
-72.0827,45.43861,0.752058,Circle
-73.2587,46.36861,0.75454485,Circle
-74.330696,47.41661,0.7570317,Circle
-75.2877,48.57061,0.7595185,Circle
-76.1187,49.81861,0.7620053,Circle
-76.8147,51.146606,0.76449215,Circle
-77.3677,52.54061,0.766979,FigureInfinite
-78.0637,53.868607,0.7694658,FigureInfinite
-78.8947,55.116608,0.7719526,FigureInfinite
-79.8517,56.270607,0.77443945,FigureInfinite
-80.9237,57.31861,0.7769263,FigureInfinite
-82.0997,58.24861,0.7794131,FigureInfinite
-83.3667,59.05061,0.7818999,FigureInfinite
-84.7107,59.715607,0.78438675,Circle
-85.9777,60.51761,0.7868736,Circle
-87.1537,61.44761,0.7893604,Circle
-88.2257,62.49561,0.7918472,Circle
-89.1827,63.64961,0.79433405,Circle
-90.0137,64.89761,0.7968209,Circle
-90.7097,66.22561,0.7993077,FigureInfinite
-91.540695,67.47361,0.8017945,FigureInfinite
-92.497696,68.62761,0.80428135,FigureInfinite
-93.5697,69.67561,0.8067682,FigureInfinite
-94.7457,70.605606,0.809255,FigureInfinite
-96.012695,71.40761,0.8117418,FigureInfinite
-97.3567,72.07261,0.81422865,Circle
-98.623695,72.87461,0.8167155,Circle
-99.7997,73.80461,0.8192023,Circle
-100.8717,74.85261,0.8216891,Circle
-101.8287,76.00661,0.82417595,FigureInfinite
-102.900696,77.05461,0.8266628,FigureInfinite
-104.0767,77.984604,0.8291496,FigureInfinite
-105.3437,78.786606,0.8316364,FigureInfinite
-106.6877,79.451614,0.83412325,FigureInfinite
-108.0937,79.97261,0.8366101,Circle
-109.4377,80.6376,0.8390969,Circle
-110.7047,81.439606,0.8415837,Circle
-111.8807,82.36961,0.84407055,Circle
-112.9527,83.41761,0.8465574,Circle
-113.9097,84.57161,0.8490442,FigureInfinite
-114.9817,85.61961,0.851531,FigureInfinite
-116.1577,86.54961,0.85401785,FigureInfinite
-117.4247,87.35161,0.8565047,FigureInfinite
-118.7687,88.01661,0.8589915,FigureInfinite
-120.1747,88.53761,0.8614783,Circle
-121.5187,89.20261,0.86396515,Circle
-122.7857,90.00461,0.866452,Circle
-123.9617,90.93461,0.8689388,Circle
-125.0337,91.982605,0.8714256,Circle
-125.9907,93.13661,0.87391245,Circle
-126.8217,94.38461,0.8763993,Circle
-127.5177,95.71261,0.8788861,Circle
-128.0707,97.10661,0.8813729,Circle
-128.4747,98.550606,0.88385975,Circle
-128.7257,100.02861,0.8863466,Circle
-128.8207,101.52461,0.8888334,Circle
-128.7587,103.022606,0.8913202,Circle
-128.5407,104.50661,0.89380705,Circle
-128.1687,105.95961,0.8962939,Circle
-127.6467,107.36561,0.8987807,Circle
-126.9807,108.70961,0.9012675,Circle
-126.1777,109.97661,0.90375435,Circle
-125.2467,111.15261,0.9062412,Circle
-124.1977,112.22461,0.908728,Circle
-123.0427,113.18161,0.9112148,Circle
-121.7937,114.01261,0.91370165,Circle
-120.4647,114.70861,0.9161885,Circle
-119.0697,115.26161,0.9186753,Circle
-117.6247,115.66561,0.9211621,Circle
-116.1457,115.91661,0.92364895,Circle
-114.6487,116.01161,0.9261358,Circle
-113.1497,115.94961,0.9286226,Circle
-111.664696,115.731606,0.9311094,Circle
