x,y,phase,pathName
60.752,-52.048996,0.11274443,Circle
59.931,-52.992004,0.11523122,Circle
59.096,-53.921997,0.11771802,Circle
58.246,-54.837997,0.120204814,Circle
57.383,-55.742004,0.12269161,Circle
56.505,-56.630997,0.12517841,Circle
55.613,-57.507004,0.1276652,Circle
54.708,-58.369003,0.130152,Circle
53.789,-59.216995,0.1326388,Circle
52.857,-60.050003,0.13512559,Circle
51.912,-60.869003,0.13761239,Circle
50.955,-61.671997,0.14009918,Circle
49.985,-62.461,0.14258598,Circle
49.003,-63.234,0.14507277,Circle
48.009,-63.992004,0.14755957,Circle
47.003,-64.735,0.15004636,Circle
45.986,-65.461,0.15253316,Circle
44.958,-66.172,0.15501995,Circle
43.918,-66.866,0.15750675,Circle
42.868,-67.544,0.15999354,Circle
41.808,-68.206,0.16248034,Circle
40.737,-68.85,0.16496713,Circle
39.656,-69.479,0.16745393,Circle
38.566,-70.09,0.16994072,Circle
37.466,-70.684,0.17242752,Circle
36.357,-71.26,0.17491432,Circle
35.239,-71.82,0.17740111,Circle
34.113,-72.362,0.1798879,Circle
32.978,-72.886,0.1823747,Circle
31.835,-73.392,0.1848615,Circle
30.685,-73.881,0.18734829,Circle
29.527,-74.351,0.18983509,Circle
28.361,-74.803,0.19232188,Circle
27.189,-75.237,0.19480868,Circle
26.01,-75.653,0.19729547,Circle
24.825,-76.05,0.19978227,Circle
23.634,-76.429,0.20226906,Circle
22.437,-76.789,0.20475586,Circle
21.234,-77.13,0.20724265,Circle
20.026,-77.452,0.20972945,Circle
18.814,-77.756,0.21221624,Circle
17.597,-78.04,0.21470304,Circle
16.375,-78.306,0.21718983,Circle
15.15,-78.552,0.21967663,Circle
13.92,-78.779,0.22216342,Circle
12.688,-78.987,0.22465022,Circle
11.452,-79.175,0.22713701,Circle
10.214,-79.345,0.22962381,Circle
8.973,-79.495,0.2321106,Circle
7.73,-79.625,0.2345974,Circle
6.485,-79.736,0.2370842,Circle
5.238,-79.828,0.23957099,Circle
3.9900002,-79.9,0.24205779,Circle
2.741,-79.953,0.24454458,Circle
1.492,-79.986,0.24703138,Circle
0.24199998,-79.999,0.24951817,Circle
-1.0070001,-79.993,0.25200498,Circle
-2.257,-79.968,0.25449178,Circle
-3.506,-79.923,0.25697857,Circle
-4.755,-79.858,0.25946537,Circle
-6.002,-79.774,0.26195216,Circle
-7.247,-79.671,0.26443896,Circle
-8.491,-79.548,0.26692575,Circle
-9.733,-79.405,0.26941255,Circle
-10.973,-79.243,0.27189934,Circle
-12.209,-79.062,0.27438614,Circle
-13.443,-78.862,0.27687293,Circle
-14.674001,-78.642,0.27935973,Circle
-15.901,-78.403,0.28184652,Circle
-17.124,-78.145,0.28433332,Circle
-18.343,-77.868,0.2868201,Circle
-19.557,-77.572,0.2893069,Circle
-20.767,-77.257,0.2917937,Circle
-21.971,-76.923,0.2942805,Circle
-23.17,-76.57,0.2967673,Circle
-24.364,-76.199,0.2992541,Circle
-25.552,-75.809,0.30174088,Circle
-26.733,-75.401,0.30422768,Circle
-27.908,-74.974,0.30671448,Circle
-29.076,-74.528,0.30920127,Circle
-30.237,-74.065,0.31168807,Circle
-31.389997,-73.584,0.31417486,Circle
-32.536,-73.084,0.31666166,Circle
-33.674,-72.567,0.31914845,Circle
-34.804,-72.032,0.32163525,Circle
-35.925,-71.479,0.32412204,Circle
-37.037,-70.909,0.32660884,Circle
-38.141,-70.322,0.32909563,Circle
-39.235,-69.717,0.33158243,Circle
-40.319,-69.096,0.33406922,Circle
-41.394,-68.457,0.33655602,Circle
-42.459,-67.802,0.3390428,Circle
-43.513,-67.131,0.3415296,Circle
-44.556,-66.443,0.3440164,Circle
-45.589,-65.738,0.3465032,Circle
-46.611,-65.018,0.34899,Circle
