x,y,phase,pathName
77.359,-20.385002,0.041007407,Circle
77.031,-21.591,0.043494202,Circle
76.684,-22.792,0.045980997,Circle
76.318,-23.987,0.048467793,Circle
75.934,-25.177002,0.050954588,Circle
75.532,-26.36,0.053441383,Circle
75.111,-27.537003,0.055928178,Circle
74.671,-28.707,0.058414973,Circle
74.214,-29.870003,0.06090177,Circle
73.738,-31.026001,0.06338856,Circle
73.244,-32.175003,0.06587536,Circle
72.732,-33.315002,0.068362154,Circle
72.203,-34.447,0.07084895,Circle
71.656,-35.571,0.073335744,Circle
71.091,-36.686996,0.07582254,Circle
70.509,-37.793,0.078309335,Circle
69.91,-38.89,0.08079613,Circle
69.294,-39.977997,0.083282925,Circle
68.661,-41.055,0.08576972,Circle
68.011,-42.123,0.088256516,Circle
67.345,-43.181,0.09074331,Circle
66.662,-44.227997,0.093230106,Circle
65.963,-45.264,0.0957169,Circle
65.247,-46.289,0.0982037,Circle
64.516,-47.303,0.10069049,Circle
63.769,-48.305,0.10317729,Circle
63.007,-49.295,0.10566408,Circle
62.229,-50.274002,0.10815088,Circle
61.436,-51.240005,0.11063767,Circle
60.628,-52.194,0.11312447,Circle
59.805,-53.134995,0.11561126,Circle
58.967,-54.061996,0.11809806,Circle
58.115,-54.977005,0.12058485,Circle
57.249,-55.878998,0.12307165,Circle
56.369,-56.766,0.12555845,Circle
55.475,-57.64,0.12804525,Circle
54.568,-58.5,0.13053204,Circle
53.647,-59.345,0.13301884,Circle
52.714,-60.175995,0.13550563,Circle
51.767,-60.992004,0.13799243,Circle
50.808,-61.794,0.14047922,Circle
49.836,-62.58,0.14296602,Circle
48.852,-63.350998,0.14545281,Circle
47.856,-64.107,0.14793961,Circle
46.849,-64.847,0.1504264,Circle
45.83,-65.571,0.1529132,Circle
44.8,-66.279,0.1554,Circle
43.759,-66.971,0.15788679,Circle
42.707,-67.646,0.16037358,Circle
41.645,-68.305,0.16286038,Circle
40.573,-68.948,0.16534717,Circle
39.49,-69.573,0.16783397,Circle
38.398,-70.182,0.17032076,Circle
37.297,-70.773,0.17280756,Circle
36.187,-71.347,0.17529435,Circle
35.068,-71.904,0.17778115,Circle
33.94,-72.443,0.18026794,Circle
32.804,-72.964,0.18275474,Circle
31.66,-73.468,0.18524154,Circle
30.508,-73.954,0.18772833,Circle
29.349,-74.421,0.19021513,Circle
28.183,-74.871,0.19270192,Circle
27.009,-75.302,0.19518872,Circle
25.829,-75.715,0.19767551,Circle
24.643,-76.109,0.2001623,Circle
23.451,-76.485,0.2026491,Circle
22.253,-76.842,0.2051359,Circle
21.05,-77.18,0.20762269,Circle
19.841,-77.5,0.21010949,Circle
18.628,-77.8,0.21259628,Circle
17.41,-78.082,0.21508308,Circle
16.188,-78.344,0.21756987,Circle
14.962,-78.588,0.22005667,Circle
13.732,-78.812,0.22254346,Circle
12.499,-79.017,0.22503026,Circle
11.263,-79.203,0.22751705,Circle
10.024,-79.369,0.23000385,Circle
8.783,-79.516,0.23249064,Circle
7.539,-79.643,0.23497744,Circle
6.294,-79.751,0.23746423,Circle
5.047,-79.84,0.23995103,Circle
3.7990003,-79.909,0.24243782,Circle
2.55,-79.959,0.24492462,Circle
1.301,-79.989,0.24741141,Circle
0.051,-79.999,0.24989821,Circle
-1.1980001,-79.991,0.25238502,Circle
-2.448,-79.962,0.25487182,Circle
-3.697,-79.914,0.2573586,Circle
-4.945,-79.846,0.2598454,Circle
-6.192,-79.759,0.2623322,Circle
-7.438,-79.653,0.264819,Circle
-8.681,-79.527,0.2673058,Circle
-9.923,-79.382,0.2697926,Circle
-11.162,-79.217,0.27227938,Circle
-12.398,-79.033,0.27476618,Circle
-13.631,-78.83,0.27725297,Circle
-14.861001,-78.607,0.27973977,Circle
-16.088,-78.365,0.28222656,Circle
-17.31,-78.104,0.28471336,Circle
-18.529,-77.824,0.28720015,Circle
-19.742,-77.525,0.28968695,Circle
-20.951,-77.207,0.29217374,Circle
-22.155,-76.87,0.29466054,Circle
-23.353,-76.515,0.29714733,Circle
-24.546,-76.141,0.29963413,Circle
-25.733,-75.748,0.30212092,Circle
-26.913,-75.337,0.30460772,Circle
-28.087,-74.907,0.3070945,Circle
-29.254,-74.459,0.3095813,Circle
-30.414,-73.993,0.3120681,Circle
