x,y,phase,pathName
-6.708,0.566,0.013408931,FigureEight
-5.7199993,0.4109993,0.011419494,FigureInfinite
-4.522502,0.34968758,0.009430056,FigureInfinite
-3.324502,0.41368675,0.0074406196,FigureInfinite
-2.140502,0.60268784,0.005451183,FigureInfinite
-0.982502,0.9146862,0.003461746,FigureInfinite
0.20149803,1.1036873,0.0014723092,FigureInfinite
0,-0.25900078,0.99948287,FigureInfinite
-0.019000053,-1.2590008,0.99749345,FigureInfinite
-0.062999725,-2.2579994,0.995504,FigureInfinite
-0.13199997,-3.2560005,0.9935146,FigureInfinite
-0.22599983,-4.2509995,0.9915252,FigureInfinite
-0.34500027,-5.2439995,0.98953575,FigureInfinite
-0.48799992,-6.234001,0.9875463,FigureInfinite
-0.6569996,-7.2199993,0.9855569,FigureInfinite
-0.849,-8.201,0.9835675,FigureInfinite
-1.0670004,-9.177,0.98157805,FigureInfinite
-1.3079996,-10.146999,0.9795886,FigureInfinite
-1.5740004,-11.111,0.9775992,FigureInfinite
-1.8640003,-12.068,0.9756098,FigureInfinite
-2.177,-13.018,0.97362036,FigureInfinite
-2.514,-13.959,0.97163093,FigureInfinite
-2.875,-14.892,0.9696415,FigureInfinite
-3.2589998,-15.815,0.9676521,FigureInfinite
-3.6660004,-16.729,0.96566266,FigureInfinite
-4.0949993,-17.632,0.96367323,FigureInfinite
-4.547,-18.524,0.9616838,FigureInfinite
-5.021,-19.404,0.9596944,FigureInfinite
-5.5179996,-20.272,0.95770496,FigureInfinite
-6.035,-21.128,0.95571554,FigureInfinite
-6.5739994,-21.97,0.9537261,FigureInfinite
-7.1329994,-22.799,0.9517367,FigureInfinite
-7.714,-23.614,0.94974726,FigureInfinite
-8.314,-24.413,0.94775784,FigureInfinite
-8.934,-25.198,0.9457684,FigureInfinite
-9.574,-25.966,0.943779,FigureInfinite
-10.232,-26.719,0.94178957,FigureInfinite
-10.91,-27.455,0.93980014,FigureInfinite
-11.605,-28.173,0.9378107,FigureInfinite
-12.318,-28.874,0.9358213,FigureInfinite
