x,y,phase,pathName
-39.626,-45.451004,0.63588005,FigureEight
-39.437004,-46.686996,0.6383669,FigureEight
-39.208,-47.916,0.6408537,FigureEight
-38.942,-49.137,0.6433405,FigureEight
-38.637,-50.349,0.64582735,FigureEight
-38.295,-51.552002,0.6483142,FigureEight
-37.915,-52.742004,0.650801,FigureEight
-37.499,-53.921005,0.6532878,FigureEight
-37.045,-55.086,0.65577465,FigureEight
-36.556,-56.236,0.6582615,FigureEight
-36.031,-57.369995,0.6607483,FigureEight
-35.47,-58.488,0.6632351,FigureEight
-34.876,-59.587006,0.66572195,FigureEight
-34.246002,-60.667,0.6682088,FigureEight
-33.584,-61.727005,0.6706956,FigureEight
-32.889,-62.766,0.6731824,FigureEight
-32.161003,-63.781998,0.67566925,FigureEight
-31.402998,-64.776,0.6781561,FigureEight
-30.613,-65.745,0.6806429,FigureEight
-29.794,-66.689,0.6831297,FigureEight
-28.944998,-67.606,0.68561655,FigureEight
-28.068,-68.497,0.6881034,FigureEight
-27.164,-69.361,0.6905902,FigureEight
-26.234,-70.195,0.693077,FigureEight
-25.277,-71,0.69556385,FigureEight
-24.296,-71.775,0.6980507,FigureEight
-23.292,-72.518,0.7005375,FigureEight
-22.264,-73.23,0.7030243,FigureEight
-21.215,-73.91,0.70551115,FigureEight
-20.145,-74.556,0.707998,FigureEight
-19.056,-75.169,0.7104848,FigureEight
-17.948,-75.747,0.7129716,FigureEight
-16.822,-76.29,0.71545845,FigureEight
-15.68,-76.798,0.7179453,FigureEight
-14.522001,-77.27,0.7204321,FigureEight
-13.351,-77.706,0.7229189,FigureEight
-12.166,-78.104,0.72540575,FigureEight
-10.97,-78.466,0.7278926,FigureEight
-9.762,-78.79,0.7303794,FigureEight
-8.545,-79.076,0.7328662,FigureEight
-7.3199997,-79.324,0.73535305,FigureEight
-6.0879993,-79.533,0.7378399,FigureEight
-4.8500004,-79.704,0.7403267,FigureEight
-3.6070004,-79.837,0.7428135,FigureEight
-2.3599997,-79.93,0.74530035,FigureEight
-1.112,-79.984,0.7477872,FigureEight
0.13700008,-79.999,0.750274,FigureEight
1.387,-79.975,0.7527608,FigureEight
2.635,-79.913,0.75524765,FigureEight
3.881,-79.811,0.7577345,FigureEight
5.123,-79.67,0.7602213,FigureEight
6.36,-79.491,0.7627081,FigureEight
7.591,-79.273,0.76519495,FigureEight
8.814,-79.016,0.7676818,FigureEight
10.029,-78.722,0.7701686,FigureEight
11.234,-78.389,0.7726554,FigureEight
12.428,-78.02,0.77514225,FigureEight
13.61,-77.613,0.7776291,FigureEight
14.779,-77.169,0.7801159,FigureEight
15.933,-76.689,0.7826027,FigureEight
17.071,-76.173,0.78508955,FigureEight
18.193,-75.622,0.7875764,FigureEight
19.297,-75.036,0.7900632,FigureEight
20.383,-74.416,0.79255,FigureEight
21.448,-73.763,0.79503685,FigureEight
22.493,-73.076,0.7975237,FigureEight
23.515,-72.357,0.8000105,FigureEight
24.515,-71.607,0.8024973,FigureEight
25.49,-70.825,0.80498415,FigureEight
26.441,-70.014,0.807471,FigureEight
27.366,-69.173,0.8099578,FigureEight
28.264,-68.303,0.8124446,FigureEight
29.135,-67.406,0.81493145,FigureEight
29.977,-66.483,0.8174183,FigureEight
30.79,-65.533,0.8199051,FigureEight
31.572,-64.559,0.8223919,FigureEight
32.324,-63.559998,0.82487875,FigureEight
33.045,-62.539,0.8273656,FigureEight
33.733,-61.494995,0.8298524,FigureEight
34.388,-60.431,0.8323392,FigureEight
35.01,-59.346,0.83482605,FigureEight
35.597,-58.242996,0.8373129,FigureEight
36.15,-57.122,0.8397997,FigureEight
36.667,-55.984,0.8422865,FigureEight
37.147995,-54.83,0.84477335,FigureEight
37.594,-53.662003,0.8472602,FigureEight
38.002,-52.481003,0.849747,FigureEight
