x,y,phase,pathName
-77.367,-20.352,0.45905945,Circle
-77.616,-19.384,0.46104887,Circle
-77.852,-18.412,0.4630383,Circle
-78.076,-17.437,0.46502772,Circle
-78.288,-16.46,0.46701714,Circle
-78.487,-15.48,0.46900657,Circle
-78.675,-14.498,0.470996,Circle
-78.85,-13.513,0.47298542,Circle
-79.013,-12.527,0.47497484,Circle
-79.163,-11.538,0.47696427,Circle
-79.301,-10.548,0.4789537,Circle
-79.427,-9.556,0.4809431,Circle
-79.54,-8.562,0.48293254,Circle
-79.641,-7.567,0.48492196,Circle
-79.729,-6.571,0.4869114,Circle
-79.805,-5.574,0.4889008,Circle
-79.868,-4.576,0.49089023,Circle
-79.919,-3.577,0.49287966,Circle
-79.958,-2.578,0.49486908,Circle
-79.984,-1.5780001,0.4968585,Circle
-79.997,-0.579,0.49884793,Circle
-79.998,0.42000008,0.5008374,Circle
-79.987,1.4200001,0.5028268,Circle
-79.963,2.42,0.50481623,Circle
-79.926,3.4189997,0.50680566,Circle
-79.877,4.418,0.5087951,Circle
-79.816,5.4160004,0.5107845,Circle
-79.742,6.413,0.51277393,Circle
-79.656,7.41,0.51476336,Circle
-79.557,8.405,0.5167528,Circle
-79.445,9.399,0.5187422,Circle
-79.322,10.391,0.5207316,Circle
-79.186,11.382,0.52272105,Circle
-79.037,12.369999,0.5247105,Circle
-78.876,13.357,0.5266999,Circle
-78.703,14.341999,0.5286893,Circle
-78.518,15.325001,0.53067875,Circle
-78.32,16.305,0.5326682,Circle
-78.11,17.283,0.5346576,Circle
-77.888,18.258,0.536647,Circle
-77.654,19.23,0.53863645,Circle
-77.407,20.199,0.5406259,Circle
-77.149,21.165,0.5426153,Circle
-76.878,22.128,0.5446047,Circle
-76.596,23.087,0.54659414,Circle
-76.301,24.043,0.54858357,Circle
-75.995,24.995,0.550573,Circle
-75.676,25.943,0.5525624,Circle
-75.346,26.886,0.55455184,Circle
-75.004,27.826,0.55654126,Circle
-74.65,28.762001,0.5585307,Circle
-74.285,29.692001,0.5605201,Circle
-73.908,30.619,0.56250954,Circle
-73.52,31.54,0.56449896,Circle
-73.12,32.457,0.5664884,Circle
-72.708,33.368,0.5684778,Circle
-72.285,34.274,0.57046723,Circle
-71.851,35.175,0.57245666,Circle
-71.406,36.07,0.5744461,Circle
-70.95,36.96,0.5764355,Circle
-70.482,37.844,0.57842493,Circle
-70.003,38.722,0.58041435,Circle
-69.514,39.594,0.5824038,Circle
-69.014,40.46,0.5843932,Circle
-68.502,41.319,0.5863826,Circle
-67.981,42.172,0.58837205,Circle
-67.448,43.019,0.5903615,Circle
-66.905,43.859,0.5923509,Circle
-66.352,44.692,0.5943403,Circle
-65.788,45.517,0.59632975,Circle
-65.214,46.336,0.5983192,Circle
-64.63,47.148,0.6003086,Circle
-64.035,47.952,0.602298,Circle
-63.431,48.749,0.60428745,Circle
-62.816,49.538,0.60627687,Circle
-62.192,50.319,0.6082663,Circle
-61.559,51.092,0.6102557,Circle
-60.915,51.858,0.61224514,Circle
-60.262,52.615,0.61423457,Circle
-59.6,53.364,0.616224,Circle
-58.928,54.105,0.6182134,Circle
-58.247,54.838,0.62020284,Circle
-57.557,55.561,0.62219226,Circle
-56.858,56.276,0.6241817,Circle
-56.15,56.983,0.6261711,Circle
-55.434,57.68,0.62816054,Circle
-54.708,58.369,0.63014996,Circle
-53.974,59.048,0.6321394,Circle
-53.231995,59.718,0.6341288,Circle
-52.481995,60.378998,0.63611823,Circle
-51.723,61.03,0.63810766,Circle
-50.956,61.671997,0.6400971,Circle
-50.181,62.304,0.6420865,Circle
-49.398,62.925995,0.64407593,Circle
-48.608,63.539,0.64606535,Circle
-47.81,64.141,0.6480548,Circle
-47.004,64.734,0.6500442,Circle
-46.192,65.316,0.6520336,Circle
-45.371,65.889,0.65402305,Circle
-44.544,66.451,0.6560125,Circle
-43.71,67.002,0.6580019,Circle
-42.869,67.543,0.6599913,Circle
-42.022,68.074,0.66198075,Circle
-41.168,68.594,0.6639702,Circle
-40.307,69.103,0.6659596,Circle
-39.44,69.602,0.667949,Circle
-38.567,70.089,0.66993845,Circle
-37.688,70.566,0.67192787,Circle
-36.803,71.031,0.6739173,Circle
-35.912,71.486,0.6759067,Circle
-35.016,71.929,0.67789614,Circle
-34.114,72.361,0.67988557,Circle
-33.207,72.782,0.681875,Circle
-32.294,73.191,0.6838644,Circle
-31.376999,73.589,0.68585384,Circle
-30.455002,73.976,0.68784326,Circle
-29.528,74.351,0.6898327,Circle
-28.596,74.714,0.6918221,Circle
-27.66,75.066,0.69381154,Circle
-26.719002,75.405,0.69580096,Circle
-25.775002,75.733,0.6977904,Circle
-24.826,76.05,0.6997798,Circle
-23.874,76.354,0.70176923,Circle
-22.917,76.647,0.70375866,Circle
-21.957,76.927,0.7057481,Circle
-20.994,77.196,0.7077375,Circle
-20.028,77.452,0.7097269,Circle
-19.057999,77.696,0.71171635,Circle
-18.085,77.928,0.7137058,Circle
-17.11,78.148,0.7156952,Circle
-16.132,78.356,0.7176846,Circle
-15.151001,78.552,0.71967405,Circle
-14.167999,78.735,0.7216635,Circle
-13.182999,78.906,0.7236529,Circle
-12.195,79.064,0.7256423,Circle
-11.206001,79.211,0.72763175,Circle
-10.215,79.345,0.7296212,Circle
-9.222,79.466,0.7316106,Circle
-8.228001,79.575,0.7336,Circle
-7.233,79.672,0.73558944,Circle
-6.2369995,79.756,0.73757887,Circle
-5.2390003,79.828,0.7395683,Circle
-4.241001,79.887,0.7415577,Circle
-3.2420006,79.934,0.74354714,Circle
-2.243,79.968,0.74553657,Circle
-1.243,79.99,0.747526,Circle
-0.24300003,79.999,0.7495154,Circle
0.75599957,79.996,0.75150484,Circle
1.7560005,79.98,0.75349426,Circle
2.755,79.952,0.7554837,Circle
3.7539997,79.911,0.7574731,Circle
4.7530003,79.858,0.75946254,Circle
5.7509995,79.792,0.76145196,Circle
6.748,79.714,0.7634414,Circle
7.744,79.624,0.7654308,Circle
8.738,79.521,0.76742023,Circle
9.732,79.405,0.76940966,Circle
10.723,79.277,0.7713991,Circle
11.714,79.137,0.7733885,Circle
12.702,78.985,0.7753779,Circle
13.688,78.82,0.77736735,Circle
14.672,78.642,0.7793568,Circle
15.654,78.453,0.7813462,Circle
16.634,78.251,0.7833356,Circle
17.61,78.037,0.78532505,Circle
18.584,77.811,0.7873145,Circle
19.556,77.572,0.7893039,Circle
20.524,77.322,0.7912933,Circle
21.489,77.059,0.79328275,Circle
22.45,76.785,0.7952722,Circle
