x,y,phase,pathName
-59.476997,-53.501,0.38341174,Circle
-60.142,-52.753,0.38540116,Circle
-60.795998,-51.997,0.38739058,Circle
-61.441,-51.233,0.38938,Circle
-62.077003,-50.461,0.39136943,Circle
-62.702995,-49.681,0.39335886,Circle
-63.319,-48.894,0.39534828,Circle
-63.924995,-48.098,0.3973377,Circle
-64.521,-47.296,0.39932713,Circle
-65.108,-46.485,0.40131655,Circle
-65.684,-45.668,0.40330598,Circle
-66.249,-44.843,0.4052954,Circle
-66.805,-44.012,0.40728483,Circle
-67.35,-43.173,0.40927425,Circle
-67.884,-42.328,0.41126367,Circle
-68.408,-41.476,0.4132531,Circle
-68.921,-40.618,0.41524252,Circle
-69.423,-39.753,0.41723195,Circle
-69.915,-38.882,0.41922137,Circle
-70.395,-38.005,0.4212108,Circle
-70.865,-37.122,0.42320022,Circle
-71.323,-36.234,0.42518964,Circle
-71.771,-35.339,0.42717907,Circle
-72.207,-34.44,0.4291685,Circle
-72.632,-33.534,0.43115792,Circle
-73.045,-32.624,0.43314734,Circle
-73.447,-31.708,0.43513677,Circle
-73.838,-30.788002,0.4371262,Circle
-74.217,-29.862,0.4391156,Circle
-74.584,-28.932,0.44110504,Circle
-74.94,-27.998,0.44309446,Circle
-75.284,-27.059,0.4450839,Circle
-75.617,-26.116,0.4470733,Circle
-75.937,-25.168,0.44906273,Circle
-76.246,-24.217,0.45105216,Circle
-76.543,-23.262,0.45304158,Circle
-76.827,-22.304,0.455031,Circle
-77.1,-21.342,0.45702043,Circle
-77.361,-20.376,0.45900986,Circle
-77.61,-19.408,0.46099928,Circle
-77.846,-18.436,0.4629887,Circle
-78.07,-17.462,0.46497813,Circle
-78.283,-16.484,0.46696755,Circle
-78.483,-15.505001,0.46895698,Circle
-78.67,-14.521999,0.4709464,Circle
-78.846,-13.538,0.47293583,Circle
-79.009,-12.551,0.47492525,Circle
-79.159,-11.563,0.47691467,Circle
-79.298,-10.572,0.4789041,Circle
-79.424,-9.58,0.48089352,Circle
-79.537,-8.587,0.48288295,Circle
-79.638,-7.592,0.48487237,Circle
-79.727,-6.5960007,0.4868618,Circle
-79.803,-5.599,0.48885122,Circle
-79.867,-4.601,0.49084064,Circle
-79.918,-3.6020002,0.49283007,Circle
-79.957,-2.6029997,0.4948195,Circle
-79.983,-1.6030002,0.49680892,Circle
-79.997,-0.6040001,0.49879834,Circle
-79.999,0.39499998,0.5007878,Circle
-79.987,1.395,0.5027772,Circle
-79.964,2.395,0.50476664,Circle
-79.927,3.394,0.50675607,Circle
-79.879,4.393,0.5087455,Circle
-79.818,5.391,0.5107349,Circle
-79.744,6.389,0.51272434,Circle
-79.658,7.385,0.51471376,Circle
-79.559,8.38,0.5167032,Circle
-79.448,9.374,0.5186926,Circle
-79.325,10.366,0.52068204,Circle
-79.189,11.357,0.52267146,Circle
-79.041,12.346,0.5246609,Circle
-78.881,13.333,0.5266503,Circle
-78.708,14.318,0.52863973,Circle
-78.523,15.301,0.53062916,Circle
-78.325,16.281,0.5326186,Circle
-78.116,17.259,0.534608,Circle
-77.894,18.234,0.53659743,Circle
-77.66,19.206,0.53858685,Circle
-77.414,20.175,0.5405763,Circle
-77.155,21.141,0.5425657,Circle
-76.885,22.104,0.5445551,Circle
-76.603,23.063,0.54654455,Circle
-76.309,24.019,0.548534,Circle
-76.002,24.971,0.5505234,Circle
-75.684,25.919,0.5525128,Circle
-75.354,26.863,0.55450225,Circle
-75.013,27.803,0.5564917,Circle
-74.659,28.738,0.5584811,Circle
-74.294,29.669,0.5604705,Circle
-73.918,30.596,0.56245995,Circle
-73.529,31.517,0.56444937,Circle
-73.13,32.434,0.5664388,Circle
-72.719,33.345,0.5684282,Circle
-72.296,34.252,0.57041764,Circle
-71.862,35.153,0.57240707,Circle
-71.417,36.048,0.5743965,Circle
-70.961,36.938,0.5763859,Circle
-70.494,37.822,0.57837534,Circle
-70.016,38.7,0.58036476,Circle
-69.526,39.573,0.5823542,Circle
-69.026,40.438,0.5843436,Circle
-68.515,41.298,0.58633304,Circle
-67.994,42.151,0.58832246,Circle
-67.462,42.998,0.5903119,Circle
-66.919,43.838,0.5923013,Circle
-66.366,44.671,0.59429073,Circle
-65.802,45.497,0.59628016,Circle
-65.228,46.316,0.5982696,Circle
-64.644,47.128,0.600259,Circle
-64.05,47.932,0.60224843,Circle
-63.446,48.729,0.60423785,Circle
-62.832,49.518,0.6062273,Circle
-62.208,50.3,0.6082167,Circle
-61.573997,51.073,0.6102061,Circle
-60.931,51.839,0.61219555,Circle
-60.279,52.596,0.614185,Circle
-59.616005,53.346,0.6161744,Circle
-58.945,54.087,0.6181638,Circle
-58.264,54.819,0.62015325,Circle
-57.573997,55.543,0.6221427,Circle
-56.876,56.259,0.6241321,Circle
-56.168,56.965,0.6261215,Circle
-55.452003,57.663,0.62811095,Circle
-54.726006,58.352,0.63010037,Circle
-53.993004,59.031,0.6320898,Circle
-53.251,59.701,0.6340792,Circle
-52.5,60.362,0.63606864,Circle
-51.741997,61.014,0.63805807,Circle
-50.975,61.656,0.6400475,Circle
-50.200005,62.288,0.6420369,Circle
-49.418,62.911,0.64402634,Circle
-48.628,63.524,0.64601576,Circle
-47.83,64.126,0.6480052,Circle
-47.023994,64.719,0.6499946,Circle
-46.211998,65.302,0.65198404,Circle
-45.392,65.875,0.65397346,Circle
-44.564995,66.437,0.6559629,Circle
-43.730995,66.989,0.6579523,Circle
-42.89,67.53,0.65994173,Circle
-42.043,68.061,0.66193116,Circle
-41.189003,68.581,0.6639206,Circle
-40.328,69.091,0.66591,Circle
-39.462,69.589,0.6678994,Circle
