x,y,phase,pathName
-79.63,7.6800003,0.5153034,Circle
-79.5,8.923,0.5177902,Circle
-79.351,10.164,0.520277,Circle
-79.183,11.403,0.52276385,Circle
-78.995,12.639,0.5252507,Circle
-78.788,13.871,0.5277375,Circle
-78.561,15.101,0.5302243,Circle
-78.316,16.326,0.53271115,Circle
-78.051,17.548,0.535198,Circle
-77.767,18.765,0.5376848,Circle
-77.465,19.978,0.5401716,Circle
-77.143,21.186,0.54265845,Circle
-76.803,22.389,0.5451453,Circle
-76.443,23.586,0.5476321,Circle
-76.066,24.778,0.5501189,Circle
-75.669,25.963,0.55260575,Circle
-75.254,27.142,0.5550926,Circle
-74.821,28.315,0.5575794,Circle
-74.369,29.48,0.5600662,Circle
-73.9,30.639,0.56255305,Circle
-73.412,31.79,0.5650399,Circle
-72.906,32.933,0.5675267,Circle
-72.383,34.068,0.5700135,Circle
-71.842,35.195,0.57250035,Circle
-71.283,36.313,0.5749872,Circle
-70.707,37.422,0.577474,Circle
-70.114,38.523,0.5799608,Circle
-69.503,39.613,0.58244765,Circle
-68.876,40.694,0.5849345,Circle
-68.231,41.766,0.5874213,Circle
-67.57,42.827,0.5899081,Circle
-66.893,43.877,0.59239495,Circle
-66.199,44.917,0.5948818,Circle
-65.489,45.946,0.5973686,Circle
-64.764,46.964,0.5998554,Circle
-64.022,47.97,0.60234225,Circle
-63.265003,48.964,0.6048291,Circle
-62.492,49.947,0.6073159,Circle
-61.704,50.917,0.6098027,Circle
-60.901,51.875,0.61228955,Circle
-60.083,52.82,0.6147764,Circle
-59.25,53.752,0.6172632,Circle
-58.403,54.672,0.61975,Circle
-57.542,55.577,0.62223685,Circle
-56.666,56.47,0.6247237,Circle
-55.777,57.348,0.6272105,Circle
-54.874,58.213,0.6296973,Circle
-53.958,59.063,0.63218415,Circle
-53.028,59.899,0.634671,Circle
-52.086,60.72,0.6371578,Circle
-51.131,61.527,0.6396446,Circle
-50.163,62.318,0.64213145,Circle
-49.184,63.094,0.6446183,Circle
-48.192,63.855,0.6471051,Circle
-47.188,64.6,0.6495919,Circle
-46.173,65.33,0.65207875,Circle
-45.147,66.043,0.6545656,Circle
-44.109,66.74,0.6570524,Circle
-43.061,67.421,0.6595392,Circle
