x,y,phase,pathName
79.768,6.0769997,0.987898,Circle
79.854,4.83,0.9903848,Circle
79.919,3.5810003,0.99287164,Circle
79.965,2.3319998,0.99535847,Circle
79.992,1.0830002,0.9978453,Circle
79.999,-0.16600037,0.00033211708,Circle
79.987,-1.4160004,0.0028189132,Circle
79.955,-2.6660004,0.0053057093,Circle
79.904,-3.915001,0.0077925054,Circle
79.833,-5.163,0.010279302,Circle
79.742,-6.41,0.012766098,Circle
79.632,-7.6550007,0.015252894,Circle
79.503,-8.897999,0.01773969,Circle
79.354,-10.139,0.020226486,Circle
79.186,-11.378,0.022713281,Circle
78.999,-12.614,0.025200076,Circle
78.792,-13.846001,0.027686872,Circle
78.566,-15.076,0.030173667,Circle
78.321,-16.300999,0.032660462,Circle
78.057,-17.522999,0.035147257,Circle
77.773,-18.741001,0.037634052,Circle
77.471,-19.953999,0.040120848,Circle
77.15,-21.161999,0.042607643,Circle
76.81,-22.364002,0.045094438,Circle
76.451,-23.562,0.047581233,Circle
76.073,-24.753002,0.05006803,Circle
75.677,-25.939,0.052554823,Circle
75.263,-27.118,0.05504162,Circle
74.83,-28.291,0.057528414,Circle
74.379,-29.457,0.06001521,Circle
73.909,-30.615002,0.062502004,Circle
73.422,-31.766003,0.0649888,Circle
72.917,-32.909,0.067475595,Circle
72.394,-34.045,0.06996239,Circle
71.853,-35.172,0.072449185,Circle
71.295,-36.29,0.07493598,Circle
70.719,-37.4,0.077422775,Circle
70.126,-38.5,0.07990957,Circle
69.516,-39.591,0.082396366,Circle
68.889,-40.672,0.08488316,Circle
68.245,-41.744,0.087369956,Circle
67.584,-42.805,0.08985675,Circle
66.907,-43.856,0.09234355,Circle
66.214,-44.896,0.09483034,Circle
65.504,-45.925,0.09731714,Circle
64.779,-46.943,0.09980393,Circle
64.037,-47.949,0.10229073,Circle
63.28,-48.944004,0.10477752,Circle
62.508003,-49.926,0.10726432,Circle
61.72,-50.897,0.10975111,Circle
60.917,-51.855,0.11223791,Circle
60.1,-52.801,0.1147247,Circle
59.267,-53.733006,0.1172115,Circle
58.421005,-54.653004,0.11969829,Circle
57.560005,-55.558994,0.12218509,Circle
56.685005,-56.451,0.124671884,Circle
55.796005,-57.330006,0.12715869,Circle
54.893005,-58.194996,0.12964548,Circle
53.977005,-59.045002,0.13213228,Circle
53.048,-59.882,0.13461907,Circle
52.106,-60.703,0.13710587,Circle
51.151,-61.51,0.13959266,Circle
50.184,-62.302,0.14207946,Circle
49.204,-63.078,0.14456625,Circle
