x,y,phase,pathName
-71.037,-25.232002,0.8043203,FigureInfinite
-71.81,-24.25,0.80183345,FigureInfinite
-72.552,-23.244,0.7993466,FigureInfinite
-73.263,-22.216,0.7968598,FigureInfinite
-73.94,-21.166,0.794373,FigureInfinite
-74.585,-20.095001,0.79188615,FigureInfinite
-75.196,-19.003998,0.7893993,FigureInfinite
-75.773,-17.896,0.7869125,FigureInfinite
-76.315,-16.768997,0.7844257,FigureInfinite
-76.821,-15.625999,0.78193885,FigureInfinite
-77.291,-14.468002,0.779452,FigureInfinite
-77.725,-13.295998,0.7769652,FigureInfinite
-78.122,-12.111,0.7744784,FigureInfinite
-78.482,-10.913002,0.77199155,FigureInfinite
-78.804,-9.706001,0.7695047,FigureInfinite
-79.088,-8.488998,0.7670179,FigureInfinite
-79.334,-7.2630005,0.7645311,FigureInfinite
-79.542,-6.030998,0.76204425,FigureInfinite
-79.711,-4.792,0.7595574,FigureInfinite
-79.842,-3.5489998,0.7570706,FigureInfinite
-79.933,-2.302002,0.7545838,FigureInfinite
-79.986,-1.0530014,0.75209695,FigureInfinite
-79.999,0.1949997,0.7496101,FigureInfinite
-79.973,1.4449997,0.7471233,FigureInfinite
-79.909,2.6930008,0.7446365,FigureInfinite
-79.805,3.9389992,0.74214965,FigureInfinite
-79.662,5.1809998,0.7396628,FigureInfinite
-79.481,6.4179993,0.737176,FigureInfinite
-79.261,7.647999,0.7346892,FigureInfinite
-79.003,8.871,0.73220235,FigureInfinite
-78.707,10.086,0.7297155,FigureInfinite
-78.373,11.290001,0.7272287,FigureInfinite
-78.001,12.484001,0.7247419,FigureInfinite
-77.593,13.665001,0.72225505,FigureInfinite
-77.147,14.833,0.7197682,FigureInfinite
-76.666,15.986,0.7172814,FigureInfinite
-76.148,17.124,0.7147946,FigureInfinite
-75.596,18.245,0.71230775,FigureInfinite
-75.008,19.348,0.7098209,FigureInfinite
-74.387,20.433,0.7073341,FigureInfinite
-73.731,21.497,0.7048473,FigureInfinite
-73.043,22.541,0.70236045,FigureInfinite
-72.323,23.562,0.6998736,FigureInfinite
-71.571,24.561,0.6973868,FigureInfinite
-70.788,25.535,0.6949,FigureInfinite
-69.975,26.485,0.69241315,FigureInfinite
-69.133,27.408,0.6899263,FigureInfinite
-68.262,28.305,0.6874395,FigureInfinite
-67.364,29.175,0.6849527,FigureInfinite
-66.439,30.015,0.68246585,FigureInfinite
-65.488,30.827,0.679979,FigureInfinite
-64.513,31.608,0.6774922,FigureInfinite
-63.513,32.359,0.6750054,FigureInfinite
-62.490997,33.077,0.67251855,FigureInfinite
-61.446,33.764,0.6700317,FigureInfinite
-60.381,34.418,0.6675449,FigureInfinite
-59.295,35.038,0.6650581,FigureInfinite
-58.191,35.623,0.66257125,FigureInfinite
-57.069,36.174,0.6600844,FigureInfinite
-55.93,36.69,0.6575976,Circle
-54.635647,37.448235,0.6551108,Circle
-53.427647,38.337234,0.65262395,Circle
-52.31865,39.347237,0.6501371,Circle
-51.321648,40.468235,0.6476503,Circle
-50.447647,41.687237,0.6451635,Circle
-49.70565,42.990234,0.64267665,Circle
-49.10365,44.364235,0.6401898,Circle
-48.648647,45.793236,0.637703,Circle
-48.34565,47.262238,0.6352162,Circle
-48.197647,48.754234,0.63272935,Circle
-48.20665,50.253235,0.6302425,Circle
-48.37265,51.743237,0.6277557,Circle
-48.69365,53.208237,0.6252689,Circle
-49.16565,54.631233,0.62278205,Circle
-49.78365,55.99724,0.6202952,Circle
-50.54165,57.291237,0.6178084,FigureInfinite
-51.15965,58.657234,0.6153216,FigureInfinite
-51.63165,60.08024,0.61283475,FigureInfinite
-51.95265,61.545235,0.6103479,FigureInfinite
-52.11865,63.035236,0.6078611,FigureInfinite
-52.127647,64.53423,0.6053743,Circle
-52.293648,66.02423,0.60288745,Circle
-52.614647,67.489235,0.6004006,Circle
-53.086647,68.91223,0.5979138,Circle
-53.704647,70.27824,0.595427,Circle
-54.46265,71.572235,0.59294015,Circle
-55.35165,72.779236,0.5904533,Circle
-56.36165,73.88724,0.5879665,FigureInfinite
-57.25065,75.09424,0.5854797,FigureInfinite
-58.008648,76.38824,0.58299285,FigureInfinite
-58.626648,77.754234,0.580506,FigureInfinite
-59.098648,79.17723,0.5780192,FigureInfinite
-59.419647,80.642235,0.5755324,FigureInfinite
-59.585648,82.13223,0.57304555,FigureInfinite
-59.59465,83.63124,0.5705587,Circle
-59.760647,85.12123,0.5680719,Circle
-60.08165,86.586235,0.5655851,Circle
-60.55365,88.00923,0.56309825,Circle
-61.17165,89.37524,0.5606114,FigureInfinite
-61.64365,90.79823,0.5581246,FigureInfinite
-61.96465,92.26324,0.5556378,FigureInfinite
-62.13065,93.753235,0.55315095,FigureInfinite
-62.13965,95.252235,0.5506641,FigureInfinite
-61.99165,96.74423,0.5481773,Circle
-62.00065,98.24324,0.5456905,Circle
-62.16665,99.73324,0.54320365,Circle
-62.487648,101.198235,0.5407168,FigureInfinite
-62.65365,102.68823,0.53823,FigureInfinite
-62.66265,104.18723,0.5357432,FigureInfinite
-62.51465,105.67924,0.53325635,FigureInfinite
-62.211647,107.14824,0.5307695,FigureInfinite
-61.75665,108.57723,0.5282827,FigureInfinite
-61.154648,109.95123,0.5257959,FigureInfinite
-60.412647,111.254234,0.52330905,Circle
-59.538647,112.473236,0.5208222,FigureInfinite
-58.54165,113.59424,0.5183354,FigureInfinite
-57.432648,114.60423,0.5158486,FigureInfinite
-56.224648,115.49323,0.51336175,FigureInfinite
-54.92965,116.251236,0.5108749,FigureInfinite
-53.56265,116.86923,0.5083881,FigureInfinite
-52.13865,117.34123,0.5059013,FigureInfinite
-50.67265,117.66224,0.50341445,FigureInfinite
-49.18165,117.82823,0.5009276,FigureInfinite
-47.68165,117.837234,0.49844083,FigureInfinite
-46.18865,117.68923,0.49595404,FigureInfinite
-44.718647,117.38624,0.49346724,FigureInfinite
-43.288647,116.93124,0.49098045,FigureInfinite
-41.913647,116.32924,0.48849365,FigureInfinite
-40.60965,115.587234,0.48600686,FigureInfinite
-39.38965,114.713234,0.48352006,FigureInfinite
-38.267647,113.71623,0.48103327,FigureInfinite
-37.25665,112.60724,0.47854647,FigureInfinite
-36.36665,111.39924,0.47605968,FigureInfinite
-35.607647,110.10423,0.47357288,FigureInfinite
-34.988647,108.737236,0.47108608,FigureInfinite
-34.515648,107.31323,0.4685993,FigureInfinite
-34.07465,105.879234,0.4661125,FigureInfinite
-33.63165,104.44524,0.4636257,FigureInfinite
-33.18565,103.01224,0.4611389,FigureInfinite
-32.73665,101.58024,0.4586521,FigureInfinite
-32.28465,100.14924,0.4561653,FigureInfinite
-31.829649,98.71924,0.45367852,FigureInfinite
-31.37065,97.29024,0.45119172,FigureInfinite
-30.906649,95.863235,0.44870493,FigureInfinite
-30.43765,94.43724,0.44621813,FigureInfinite
-29.96365,93.01324,0.44373134,FigureInfinite
-29.48465,91.59123,0.44124454,FigureInfinite
-28.999651,90.171234,0.43875775,FigureInfinite
-28.50865,88.753235,0.43627095,FigureInfinite
-28.01065,87.337234,0.43378416,FigureInfinite
-27.50565,85.92424,0.43129736,FigureInfinite
-26.99365,84.51324,0.42881057,FigureInfinite
-26.47465,83.10524,0.42632377,FigureInfinite
-25.94765,81.70024,0.42383698,FigureInfinite
-25.41165,80.29823,0.42135018,FigureInfinite
-24.867651,78.89923,0.4188634,FigureInfinite
-24.31465,77.504234,0.4163766,FigureInfinite
-23.752651,76.113235,0.4138898,FigureInfinite
-23.18165,74.725235,0.411403,FigureInfinite
-22.60065,73.34123,0.4089162,FigureInfinite
-22.009651,71.962234,0.4064294,FigureInfinite
-21.40865,70.587234,0.4039426,FigureInfinite
-20.79665,69.21724,0.40145582,FigureInfinite
-20.17465,67.851234,0.39896902,FigureInfinite
-19.54165,66.491234,0.39648223,FigureInfinite
-18.89765,65.13624,0.39399543,FigureInfinite
-18.24165,63.786236,0.39150864,FigureInfinite
-17.57365,62.442238,0.38902184,FigureInfinite
-16.89365,61.104233,0.38653505,FigureInfinite
-16.20165,59.772236,0.38404825,FigureInfinite
-15.49765,58.447235,0.38156146,FigureInfinite
-14.780651,57.128235,0.37907466,FigureInfinite
-14.051649,55.81624,0.37658787,FigureInfinite
-13.30965,54.512238,0.37410107,FigureInfinite
-12.554649,53.215233,0.37161428,FigureInfinite
-11.78565,51.926235,0.36912748,FigureInfinite
-11.003651,50.645233,0.3666407,FigureInfinite
-10.207649,49.373238,0.3641539,FigureInfinite
-9.398649,48.109238,0.3616671,FigureInfinite
-8.575649,46.854237,0.3591803,FigureInfinite
-7.7376494,45.609238,0.3566935,FigureInfinite
-6.88565,44.373238,0.3542067,FigureInfinite
-6.01965,43.147236,0.35171992,FigureInfinite
-5.13865,41.932236,0.34923312,FigureInfinite
-4.24365,40.728237,0.34674633,FigureInfinite
-3.3336496,39.535236,0.34425953,FigureInfinite
-2.40865,38.353237,0.34177274,FigureInfinite
-1.4686499,37.183235,0.33928594,FigureInfinite
-0.51364994,36.025234,0.33679914,FigureInfinite
0.4563501,34.880234,0.33431235,FigureInfinite
1.4413501,33.749237,0.33182555,FigureInfinite
2.44135,32.632236,0.32933876,FigureInfinite
3.45635,31.529236,0.32685196,FigureInfinite
4.4873505,30.440235,0.32436517,FigureInfinite
5.53335,29.366236,0.32187837,FigureInfinite
6.5953503,28.308235,0.31939158,FigureInfinite
7.6733503,27.266235,0.31690478,FigureInfinite
8.76635,26.240234,0.314418,FigureInfinite
9.875351,25.231236,0.3119312,FigureInfinite
11.000351,24.240234,0.3094444,FigureInfinite
12.14135,23.267235,0.3069576,FigureInfinite
13.29735,22.313236,0.3044708,FigureInfinite
14.469351,21.378235,0.301984,FigureInfinite
15.657351,20.463236,0.29949722,FigureInfinite
16.861351,19.569237,0.29701042,FigureInfinite
18.08135,18.697235,0.29452363,FigureInfinite
19.316349,17.847235,0.29203683,FigureInfinite
20.56735,17.020235,0.28955004,FigureInfinite
21.83335,16.217236,0.28706324,FigureInfinite
23.115349,15.439236,0.28457645,FigureInfinite
24.41235,14.687235,0.28208965,FigureInfinite
25.72435,13.962236,0.27960286,FigureInfinite
27.05135,13.264236,0.27711606,FigureInfinite
28.39335,12.595236,0.27462927,FigureInfinite
29.750349,11.956236,0.27214247,FigureInfinite
31.12135,11.349236,0.26965567,FigureInfinite
32.50635,10.774235,0.26716888,FigureInfinite
33.90435,10.233236,0.26468208,FigureInfinite
35.316353,9.728235,0.2621953,FigureInfinite
36.740353,9.260235,0.2597085,FigureInfinite
38.177353,8.831236,0.2572217,FigureInfinite
39.62535,8.443235,0.2547349,FigureInfinite
41.08435,8.097235,0.2522481,FigureInfinite
42.553352,7.796236,0.24976131,FigureInfinite
44.031353,7.543236,0.24727452,FigureInfinite
45.517353,7.3402348,0.24478772,FigureInfinite
47.00935,7.1892357,0.24230093,FigureInfinite
48.505352,7.0942364,0.23981413,FigureInfinite
50.004353,7.058235,0.23732734,FigureInfinite
51.503353,7.0852356,0.23484054,FigureInfinite
53.00035,7.1792355,0.23235375,FigureInfinite
54.490353,7.3442364,0.22986695,FigureInfinite
55.970352,7.584236,0.22738016,FigureInfinite
57.435352,7.9052353,0.22489336,FigureInfinite
58.878353,8.312235,0.22240657,FigureInfinite
60.29235,8.811235,0.21991977,FigureInfinite
61.66835,9.408236,0.21743298,FigureInfinite
62.99535,10.108236,0.21494618,FigureInfinite
64.259346,10.916235,0.21245939,FigureInfinite
65.44435,11.836235,0.20997259,FigureInfinite
66.53135,12.870235,0.2074858,FigureInfinite
67.50435,14.012236,0.204999,FigureInfinite
68.35335,15.249235,0.2025122,FigureInfinite
69.06835,16.568235,0.20002541,FigureInfinite
69.64135,17.955236,0.19753861,FigureInfinite
70.06635,19.394236,0.19505182,FigureInfinite
70.33835,20.870235,0.19256502,FigureInfinite
70.45535,22.366236,0.19007823,FigureInfinite
70.41535,23.866236,0.18759143,FigureInfinite
70.21835,25.354237,0.18510464,FigureInfinite
69.867355,26.813236,0.18261784,FigureInfinite
69.36535,28.227236,0.18013105,FigureInfinite
68.71835,29.581236,0.17764425,FigureInfinite
67.93335,30.860235,0.17515746,FigureInfinite
67.01935,32.050236,0.17267066,FigureInfinite
65.98535,33.138237,0.17018387,FigureInfinite
64.84335,34.112236,0.16769707,FigureInfinite
63.60635,34.961235,0.16521028,FigureInfinite
62.28735,35.676235,0.16272348,FigureInfinite
60.900352,36.249237,0.16023669,FigureInfinite
59.461353,36.674236,0.15774989,FigureInfinite
57.98635,36.946236,0.1552631,FigureInfinite
56.50235,37.166237,0.1527763,FigureInfinite
55.03335,37.470234,0.1502895,FigureInfinite
53.574352,37.821236,0.14780271,FigureInfinite
52.12035,38.190235,0.14531592,FigureInfinite
50.664352,38.554237,0.14282912,FigureInfinite
49.20335,38.896236,0.14034232,FigureInfinite
47.73535,39.204235,0.13785553,FigureInfinite
46.25835,39.469234,0.13536873,FigureInfinite
44.77335,39.684235,0.13288194,FigureInfinite
43.281353,39.845238,0.13039514,FigureInfinite
41.78435,39.950233,0.12790835,FigureInfinite
40.28435,39.996235,0.12542155,FigureInfinite
38.78435,39.984238,0.12293476,FigureInfinite
37.713,39.934,0.12044796,FigureInfinite
36.466,39.843,0.11796117,FigureInfinite
35.223,39.713,0.11547437,FigureInfinite
33.984,39.545,0.11298758,FigureInfinite
32.752,39.337,0.11050078,FigureInfinite
31.526,39.092,0.10801399,FigureInfinite
30.309,38.808,0.10552719,FigureInfinite
29.101,38.486,0.1030404,FigureInfinite
27.904,38.127,0.1005536,FigureInfinite
26.718,37.73,0.09806681,FigureInfinite
25.546,37.297,0.09558001,FigureInfinite
24.388,36.827,0.09309322,FigureInfinite
23.245,36.321,0.09060642,FigureInfinite
22.118,35.78,0.088119626,FigureInfinite
21.009,35.204,0.08563283,FigureInfinite
19.918,34.593,0.083146036,FigureInfinite
18.847,33.949,0.08065924,FigureInfinite
17.797,33.272,0.078172445,FigureInfinite
16.768,32.562,0.07568565,FigureInfinite
