x,y,phase,pathName
71.695,35.493,0.9268386,Circle
72.241,34.368,0.9293254,Circle
72.769,33.235,0.9318122,Circle
73.279,32.094,0.93429905,Circle
73.772,30.946,0.9367859,Circle
74.246,29.789,0.9392727,Circle
74.703,28.625,0.9417595,Circle
75.141,27.455,0.94424635,Circle
75.561,26.277,0.9467332,Circle
75.962,25.093,0.94922,Circle
76.345,23.903,0.9517068,Circle
76.709,22.708,0.95419365,Circle
77.054,21.506,0.9566805,Circle
77.381,20.3,0.9591673,Circle
77.689,19.088,0.9616541,Circle
77.978,17.872,0.96414095,Circle
78.247,16.652,0.9666278,Circle
78.498,15.427,0.9691146,Circle
78.729,14.199001,0.9716014,Circle
78.942,12.966999,0.97408825,Circle
79.135,11.732,0.9765751,Circle
79.308,10.4939995,0.9790619,Circle
79.462,9.253,0.9815487,Circle
79.597,8.011,0.98403555,Circle
79.713,6.765999,0.9865224,Circle
79.809,5.5200005,0.9890092,Circle
79.885,4.2719994,0.991496,Circle
79.942,3.0230007,0.99398285,Circle
79.98,1.7739983,0.9964697,Circle
79.998,0.52399826,0.9989565,Circle
79.996,-0.7249985,0.0014432669,Circle
79.975,-1.9749985,0.003930063,Circle
79.934,-3.223999,0.006416859,Circle
79.874,-4.4729996,0.008903655,Circle
79.795,-5.720001,0.011390451,Circle
79.696,-6.9659996,0.013877247,Circle
79.577,-8.209999,0.016364044,Circle
79.439,-9.452999,0.01885084,Circle
79.282,-10.693001,0.021337636,Circle
79.105,-11.93,0.023824431,Circle
78.909,-13.165001,0.026311226,Circle
78.693,-14.396,0.028798021,Circle
78.459,-15.624001,0.031284817,Circle
78.205,-16.848,0.03377161,Circle
77.932,-18.068,0.036258407,Circle
77.641,-19.283,0.038745202,Circle
77.33,-20.494,0.041231997,Circle
77,-21.7,0.043718792,Circle
76.652,-22.900002,0.046205588,Circle
76.285,-24.095001,0.048692383,Circle
75.899,-25.284,0.051179178,Circle
75.494,-26.467,0.053665973,Circle
75.072,-27.642998,0.05615277,Circle
74.631,-28.813,0.058639564,Circle
74.171,-29.974998,0.06112636,Circle
73.694,-31.129997,0.063613154,Circle
73.199,-32.278,0.06609995,Circle
72.685,-33.418,0.068586744,Circle
72.154,-34.548996,0.07107354,Circle
71.606,-35.671997,0.073560335,Circle
71.04,-36.787003,0.07604713,Circle
70.456,-37.892,0.078533925,Circle
69.855,-38.989,0.08102072,Circle
69.238,-40.074997,0.083507515,Circle
68.603,-41.152,0.08599431,Circle
67.952,-42.219,0.088481106,Circle
67.284,-43.276,0.0909679,Circle
66.599,-44.322,0.093454696,Circle
65.899,-45.356995,0.09594149,Circle
65.182,-46.380997,0.09842829,Circle
64.449,-47.393997,0.10091508,Circle
63.701,-48.395004,0.10340188,Circle
62.937,-49.384003,0.10588867,Circle
62.158,-50.362,0.10837547,Circle
61.363,-51.326996,0.11086226,Circle
60.554,-52.279,0.11334906,Circle
59.73,-53.219,0.11583585,Circle
58.891,-54.145996,0.11832265,Circle
58.038,-55.059,0.12080944,Circle
57.17,-55.959,0.12329624,Circle
56.289,-56.846,0.12578304,Circle
55.394,-57.718002,0.12826984,Circle
54.485,-58.576996,0.13075663,Circle
53.564,-59.421005,0.13324343,Circle
52.629,-60.25,0.13573022,Circle
51.681,-61.065002,0.13821702,Circle
50.72,-61.865005,0.14070381,Circle
49.748,-62.65,0.1431906,Circle
48.763,-63.42,0.1456774,Circle
47.766,-64.174,0.1481642,Circle
46.757,-64.913,0.150651,Circle
45.737,-65.635,0.15313779,Circle
44.706,-66.342,0.15562458,Circle
43.664,-67.032,0.15811138,Circle
42.611,-67.706,0.16059817,Circle
41.548,-68.364,0.16308497,Circle
40.475,-69.005,0.16557176,Circle
39.392,-69.629,0.16805856,Circle
38.299,-70.236,0.17054535,Circle
37.197,-70.826,0.17303215,Circle
36.086,-71.398,0.17551894,Circle
34.966,-71.953,0.17800574,Circle
33.838,-72.491,0.18049254,Circle
32.701,-73.011,0.18297933,Circle
31.556,-73.513,0.18546613,Circle
30.404,-73.997,0.18795292,Circle
29.244,-74.463,0.19043972,Circle
28.077,-74.911,0.19292651,Circle
26.903,-75.34,0.1954133,Circle
25.723,-75.751,0.1979001,Circle
24.536,-76.144,0.2003869,Circle
23.343,-76.518,0.20287369,Circle
22.145,-76.873,0.20536049,Circle
20.941,-77.21,0.20784728,Circle
19.732,-77.528,0.21033408,Circle
18.518,-77.827,0.21282087,Circle
17.3,-78.106,0.21530767,Circle
16.078,-78.367,0.21779446,Circle
14.851,-78.609,0.22028126,Circle
13.621,-78.831,0.22276805,Circle
12.388,-79.035,0.22525485,Circle
11.151,-79.218,0.22774164,Circle
9.912,-79.383,0.23022844,Circle
8.671,-79.528,0.23271523,Circle
7.427,-79.654,0.23520203,Circle
6.182,-79.76,0.23768882,Circle
4.935,-79.847,0.24017562,Circle
3.686,-79.914,0.24266241,Circle
2.437,-79.962,0.24514921,Circle
1.188,-79.991,0.247636,Circle
-0.06100011,-79.999,0.25012282,Circle
-1.3110001,-79.989,0.2526096,Circle
-2.561,-79.958,0.2550964,Circle
-3.8100002,-79.909,0.2575832,Circle
-5.0580006,-79.839,0.26007,Circle
-6.3050003,-79.751,0.2625568,Circle
-7.55,-79.642,0.2650436,Circle
-8.793,-79.515,0.26753038,Circle
-10.035,-79.368,0.27001718,Circle
-11.274,-79.201,0.27250397,Circle
-12.51,-79.015,0.27499077,Circle
-13.743,-78.81,0.27747756,Circle
-14.972,-78.586,0.27996436,Circle
-16.198,-78.342,0.28245115,Circle
-17.421,-78.08,0.28493795,Circle
-18.638,-77.798,0.28742474,Circle
-19.852,-77.497,0.28991154,Circle
-21.06,-77.178,0.29239833,Circle
-22.263,-76.839,0.29488513,Circle
-23.461,-76.482,0.29737192,Circle
-24.653,-76.106,0.29985872,Circle
-25.839,-75.711,0.3023455,Circle
-27.019,-75.298,0.3048323,Circle
-28.192,-74.867,0.3073191,Circle
-29.359001,-74.417,0.3098059,Circle
-30.518002,-73.95,0.3122927,Circle
-31.670002,-73.464,0.3147795,Circle
-32.814,-72.96,0.3172663,Circle
-33.949,-72.438,0.31975308,Circle
-35.077,-71.899,0.32223988,Circle
-36.196,-71.342,0.32472667,Circle
-37.307,-70.768,0.32721347,Circle
-38.408,-70.176,0.32970026,Circle
-39.499,-69.568,0.33218706,Circle
-40.582,-68.942,0.33467385,Circle
-41.654,-68.3,0.33716065,Circle
-42.716,-67.641,0.33964744,Circle
-43.768,-66.965,0.34213424,Circle
-44.808,-66.273,0.34462103,Circle
-45.839,-65.565,0.34710783,Circle
-46.857,-64.84,0.34959462,Circle
-47.865,-64.1,0.35208142,Circle
-48.86,-63.345,0.3545682,Circle
-49.844,-62.574005,0.357055,Circle
-50.816,-61.787003,0.3595418,Circle
-51.775,-60.986,0.3620286,Circle
-52.721,-60.169,0.3645154,Circle
-53.655,-59.337997,0.3670022,Circle
-54.576,-58.492996,0.36948898,Circle
-55.483,-57.632996,0.37197578,Circle
-56.377,-56.759003,0.37446257,Circle
-57.257,-55.871002,0.37694937,Circle
-58.123,-54.97,0.37943617,Circle
-58.974,-54.055,0.38192296,Circle
-59.812,-53.127,0.38440976,Circle
-60.635,-52.186005,0.38689655,Circle
-61.443005,-51.231995,0.38938335,Circle
-62.235004,-50.266,0.39187014,Circle
-63.013004,-49.287003,0.39435694,Circle
-63.776005,-48.296997,0.39684373,Circle
-64.522,-47.294,0.39933053,Circle
-65.254,-46.28,0.40181732,Circle
-65.969,-45.255005,0.40430412,Circle
-66.668,-44.219,0.4067909,Circle
-67.351,-43.171997,0.4092777,Circle
-68.017,-42.114,0.4117645,Circle
-68.667,-41.046005,0.4142513,Circle
-69.299,-39.968002,0.4167381,Circle
-69.916,-38.880997,0.4192249,FigureInfinite
-70.51548,-37.506203,0.42171168,FigureInfinite
-70.96848,-36.076202,0.42419848,FigureInfinite
-71.26948,-34.6062,0.42668527,FigureInfinite
-71.41448,-33.113205,0.42917207,FigureInfinite
-71.40348,-31.613205,0.43165886,FigureInfinite
-71.23548,-30.122208,0.43414566,FigureInfinite
-70.91248,-28.657204,0.43663245,FigureInfinite
-70.43848,-27.233204,0.43911925,FigureInfinite
-69.81748,-25.867203,0.44160604,FigureInfinite
-69.05748,-24.573204,0.44409284,FigureInfinite
-68.16648,-23.365204,0.44657964,FigureInfinite
-67.15448,-22.257206,0.44906643,FigureInfinite
-66.03148,-21.261204,0.45155323,FigureInfinite
-64.81148,-20.388203,0.45404002,FigureInfinite
-63.50648,-19.647205,0.45652682,FigureInfinite
-62.13148,-19.046204,0.4590136,FigureInfinite
-60.701485,-18.592205,0.4615004,FigureInfinite
-59.231483,-18.290203,0.4639872,FigureInfinite
-57.738483,-18.144203,0.466474,FigureInfinite
-56.239483,-18.071205,0.4689608,FigureInfinite
-54.742485,-17.968204,0.4714476,FigureInfinite
-53.247482,-17.834206,0.47393438,FigureInfinite
-51.756485,-17.667206,0.47642118,FigureInfinite
-50.269485,-17.465202,0.47890797,FigureInfinite
-48.787483,-17.228203,0.48139477,FigureInfinite
-47.312485,-16.954205,0.48388156,FigureInfinite
-45.844482,-16.643204,0.48636836,FigureInfinite
-44.385483,-16.294205,0.48885515,FigureInfinite
-42.936485,-15.905205,0.49134195,FigureInfinite
-41.498486,-15.477203,0.49382874,FigureInfinite
-40.072483,-15.009205,0.49631554,FigureInfinite
-38.660484,-14.501205,0.49880233,FigureInfinite
-37.263485,-13.953205,0.5012891,FigureInfinite
-35.882484,-13.365204,0.50377595,FigureInfinite
-34.520485,-12.736202,0.5062628,FigureInfinite
-33.178486,-12.065205,0.5087496,FigureInfinite
-31.858482,-11.352203,0.5112364,FigureInfinite
-30.561485,-10.596203,0.51372325,FigureInfinite
-29.290485,-9.797203,0.5162101,FigureInfinite
-28.048485,-8.955204,0.5186969,FigureInfinite
-26.837484,-8.069202,0.5211837,FigureInfinite
-25.659485,-7.139206,0.52367055,FigureInfinite
-24.517485,-6.165203,0.5261574,FigureInfinite
-23.414484,-5.1472054,0.5286442,FigureInfinite
