x,y,phase
79.487,-9.043,0.018030819
79.367,-10.036,0.020020256
79.236,-11.028,0.022009693
79.092,-12.017,0.02399913
78.935,-13.005,0.025988568
78.767,-13.99,0.027978005
78.586,-14.973999,0.029967442
78.392,-15.955,0.031956878
78.187,-16.934,0.033946313
77.969,-17.91,0.03593575
77.739,-18.883,0.037925184
77.497,-19.853,0.03991462
77.243,-20.82,0.041904055
76.976,-21.784,0.04389349
76.698,-22.745,0.045882925
76.408,-23.702,0.04787236
76.105,-24.655,0.049861796
75.791,-25.604,0.05185123
75.465,-26.55,0.053840667
75.128,-27.491,0.055830102
74.778,-28.428,0.057819538
74.417,-29.36,0.059808973
74.044,-30.288,0.06179841
73.66,-31.210999,0.06378785
73.264,-32.13,0.06577729
72.856,-33.043,0.067766726
72.438,-33.951,0.069756165
72.008,-34.854,0.071745604
71.566,-35.751,0.07373504
71.114,-36.643,0.07572448
70.65,-37.529,0.07771392
70.176,-38.409,0.07970336
69.69,-39.283,0.0816928
69.194,-40.151,0.08368224
68.686,-41.013,0.08567168
68.168,-41.868,0.08766112
67.64,-42.717,0.08965056
67.1,-43.559,0.091639996
66.551,-44.395,0.093629435
65.991,-45.223,0.095618874
65.42,-46.044,0.09760831
64.839,-46.859,0.09959775
64.249,-47.665,0.10158719
63.648,-48.465,0.10357663
63.037,-49.257,0.10556607
62.416,-50.041,0.10755551
61.786,-50.817,0.10954495
61.146,-51.585,0.11153439
60.496,-52.346,0.113523826
59.837,-53.098,0.115513265
59.169,-53.842,0.117502704
58.491,-54.577,0.11949214
57.805,-55.304,0.12148158
57.109,-56.022,0.12347102
56.404,-56.731,0.12546046
55.691,-57.432,0.1274499
54.968,-58.124,0.12943934
54.238,-58.806,0.13142878
53.498,-59.48,0.13341822
52.751,-60.144,0.13540766
51.995,-60.798,0.1373971
51.231,-61.444,0.13938653
50.459,-62.079,0.14137597
49.679,-62.705,0.14336541
48.891,-63.321,0.14535485
48.096,-63.927002,0.14734429
47.293,-64.523,0.14933373
46.483,-65.11,0.15132317
45.665,-65.685,0.15331261
44.841,-66.251,0.15530205
44.009,-66.806,0.15729149
43.17,-67.351,0.15928093
42.325,-67.886,0.16127037
41.473,-68.409,0.1632598
40.615,-68.923,0.16524924
39.75,-69.425,0.16723868
38.879,-69.916,0.16922812
38.002,-70.397,0.17121756
37.119,-70.866,0.173207
36.231,-71.325,0.17519644
35.336,-71.772,0.17718588
34.436,-72.208,0.17917532
33.531,-72.633,0.18116476
32.621,-73.046,0.1831542
31.704998,-73.449,0.18514363
30.784,-73.839,0.18713307
29.858997,-74.218,0.18912251
28.929,-74.586,0.19111195
27.994999,-74.941,0.19310139
27.056,-75.285,0.19509083
26.112,-75.618,0.19708027
25.165,-75.938,0.19906971
24.214,-76.247,0.20105915
23.259,-76.544,0.20304859
22.3,-76.828,0.20503803
21.338,-77.101,0.20702747
20.373,-77.362,0.2090169
19.404,-77.61,0.21100634
18.433,-77.847,0.21299578
17.458,-78.071,0.21498522
16.481,-78.283,0.21697466
15.501,-78.483,0.2189641
14.519,-78.671,0.22095354
13.534,-78.846,0.22294298
12.548,-79.009,0.22493242
11.559,-79.16,0.22692186
10.569,-79.298,0.2289113
9.577,-79.424,0.23090073
8.583,-79.538,0.23289017
7.588,-79.639,0.23487961
6.592,-79.727,0.23686905
5.595,-79.804,0.23885849
4.597,-79.867,0.24084793
3.599,-79.919,0.24283737
2.599,-79.957,0.24482681
1.6000004,-79.983,0.24681625
0.6000004,-79.997,0.24880569
-0.39900017,-79.999,0.25079513
-1.3990002,-79.987,0.25278455
-2.3990002,-79.964,0.25477397
-3.3979998,-79.927,0.2567634
-4.3970003,-79.879,0.25875282
-5.3949995,-79.817,0.26074225
-6.392001,-79.744,0.26273167
-7.388999,-79.658,0.2647211
-8.384,-79.559,0.26671052
-9.378001,-79.448,0.26869994
-10.37,-79.325,0.27068937
-11.360999,-79.189,0.2726788
-12.350001,-79.04,0.27466822
-13.337001,-78.88,0.27665764
-14.321,-78.707,0.27864707
-15.304,-78.522,0.2806365
-16.284,-78.324,0.2826259
-17.262001,-78.115,0.28461534
-18.237,-77.893,0.28660476
-19.209,-77.659,0.2885942
-20.179,-77.413,0.2905836
-21.145,-77.154,0.29257303
-22.108002,-76.884,0.29456246
-23.067001,-76.602,0.29655188
-24.022,-76.307,0.2985413
-24.974003,-76.001,0.30053073
-25.922,-75.683,0.30252016
-26.866001,-75.353,0.30450958
-27.806,-75.011,0.306499
-28.742,-74.658,0.30848843
-29.673,-74.293,0.31047785
